dpurp,mode,hh_county,trexpfac
None/Home,,King,8.0
None/Home,,Kitsap,1.0
None/Home,,Pierce,3.0
None/Home,,Snohomish,6.0
None/Home,Walk,King,640760.0
None/Home,Walk,Kitsap,55235.0
None/Home,Walk,Pierce,174041.0
None/Home,Walk,Snohomish,159065.0
None/Home,Bike,King,67561.0
None/Home,Bike,Kitsap,6114.0
None/Home,Bike,Pierce,23312.0
None/Home,Bike,Snohomish,20988.0
None/Home,SOV,King,1348336.0
None/Home,SOV,Kitsap,169100.0
None/Home,SOV,Pierce,538862.0
None/Home,SOV,Snohomish,552499.0
None/Home,HOV2,King,850744.0
None/Home,HOV2,Kitsap,104314.0
None/Home,HOV2,Pierce,356894.0
None/Home,HOV2,Snohomish,354213.0
None/Home,HOV3+,King,649102.0
None/Home,HOV3+,Kitsap,74903.0
None/Home,HOV3+,Pierce,277222.0
None/Home,HOV3+,Snohomish,285653.0
None/Home,Transit,King,239848.0
None/Home,Transit,Kitsap,11873.0
None/Home,Transit,Pierce,17489.0
None/Home,Transit,Snohomish,40908.0
None/Home,School Bus,King,92712.0
None/Home,School Bus,Kitsap,9718.0
None/Home,School Bus,Pierce,38760.0
None/Home,School Bus,Snohomish,39273.0
None/Home,TNC,King,27636.0
None/Home,TNC,Kitsap,1994.0
None/Home,TNC,Pierce,7741.0
None/Home,TNC,Snohomish,7593.0
Work,Walk,King,290011.0
Work,Walk,Kitsap,16659.0
Work,Walk,Pierce,45180.0
Work,Walk,Snohomish,45659.0
Work,Bike,King,24218.0
Work,Bike,Kitsap,2036.0
Work,Bike,Pierce,6697.0
Work,Bike,Snohomish,6467.0
Work,SOV,King,906209.0
Work,SOV,Kitsap,97273.0
Work,SOV,Pierce,330069.0
Work,SOV,Snohomish,356248.0
Work,HOV2,King,170400.0
Work,HOV2,Kitsap,16578.0
Work,HOV2,Pierce,56698.0
Work,HOV2,Snohomish,63159.0
Work,HOV3+,King,82064.0
Work,HOV3+,Kitsap,7764.0
Work,HOV3+,Pierce,27219.0
Work,HOV3+,Snohomish,31335.0
Work,Transit,King,195986.0
Work,Transit,Kitsap,15094.0
Work,Transit,Pierce,22270.0
Work,Transit,Snohomish,52059.0
Work,School Bus,King,58.0
Work,School Bus,Pierce,17.0
Work,School Bus,Snohomish,17.0
Work,TNC,King,58914.0
Work,TNC,Kitsap,3412.0
Work,TNC,Pierce,10314.0
Work,TNC,Snohomish,14487.0
School,Walk,King,71482.0
School,Walk,Kitsap,5820.0
School,Walk,Pierce,22667.0
School,Walk,Snohomish,21670.0
School,Bike,King,19571.0
School,Bike,Kitsap,1711.0
School,Bike,Pierce,7172.0
School,Bike,Snohomish,6541.0
School,SOV,King,35262.0
School,SOV,Kitsap,3723.0
School,SOV,Pierce,17781.0
School,SOV,Snohomish,14851.0
School,HOV2,King,106664.0
School,HOV2,Kitsap,12353.0
School,HOV2,Pierce,46493.0
School,HOV2,Snohomish,48432.0
School,HOV3+,King,121539.0
School,HOV3+,Kitsap,13517.0
School,HOV3+,Pierce,51399.0
School,HOV3+,Snohomish,53800.0
School,Transit,King,34274.0
School,Transit,Kitsap,1151.0
School,Transit,Pierce,5451.0
School,Transit,Snohomish,7833.0
School,School Bus,King,93671.0
School,School Bus,Kitsap,9925.0
School,School Bus,Pierce,39155.0
School,School Bus,Snohomish,39459.0
School,TNC,King,9936.0
School,TNC,Kitsap,1046.0
School,TNC,Pierce,3984.0
School,TNC,Snohomish,3855.0
Escort,Walk,King,93557.0
Escort,Walk,Kitsap,9087.0
Escort,Walk,Pierce,26911.0
Escort,Walk,Snohomish,25828.0
Escort,Bike,King,21834.0
Escort,Bike,Kitsap,2121.0
Escort,Bike,Pierce,8310.0
Escort,Bike,Snohomish,7271.0
Escort,SOV,King,218690.0
Escort,SOV,Kitsap,29484.0
Escort,SOV,Pierce,94369.0
Escort,SOV,Snohomish,99997.0
Escort,HOV2,King,244839.0
Escort,HOV2,Kitsap,29577.0
Escort,HOV2,Pierce,99308.0
Escort,HOV2,Snohomish,101309.0
Escort,HOV3+,King,192199.0
Escort,HOV3+,Kitsap,21839.0
Escort,HOV3+,Pierce,80897.0
Escort,HOV3+,Snohomish,86915.0
Escort,Transit,King,10606.0
Escort,Transit,Kitsap,1099.0
Escort,Transit,Pierce,892.0
Escort,Transit,Snohomish,2956.0
Escort,School Bus,King,2575.0
Escort,School Bus,Kitsap,251.0
Escort,School Bus,Pierce,1079.0
Escort,School Bus,Snohomish,1116.0
Escort,TNC,King,1426.0
Escort,TNC,Kitsap,114.0
Escort,TNC,Pierce,365.0
Escort,TNC,Snohomish,416.0
Personal Business,Walk,King,149303.0
Personal Business,Walk,Kitsap,14178.0
Personal Business,Walk,Pierce,41869.0
Personal Business,Walk,Snohomish,37598.0
Personal Business,Bike,King,12274.0
Personal Business,Bike,Kitsap,1181.0
Personal Business,Bike,Pierce,4350.0
Personal Business,Bike,Snohomish,3750.0
Personal Business,SOV,King,353380.0
Personal Business,SOV,Kitsap,52673.0
Personal Business,SOV,Pierce,154789.0
Personal Business,SOV,Snohomish,151341.0
Personal Business,HOV2,King,252989.0
Personal Business,HOV2,Kitsap,34971.0
Personal Business,HOV2,Pierce,116254.0
Personal Business,HOV2,Snohomish,109557.0
Personal Business,HOV3+,King,157429.0
Personal Business,HOV3+,Kitsap,19793.0
Personal Business,HOV3+,Pierce,71802.0
Personal Business,HOV3+,Snohomish,70380.0
Personal Business,Transit,King,51830.0
Personal Business,Transit,Kitsap,2048.0
Personal Business,Transit,Pierce,2480.0
Personal Business,Transit,Snohomish,5878.0
Personal Business,School Bus,King,5451.0
Personal Business,School Bus,Kitsap,518.0
Personal Business,School Bus,Pierce,2286.0
Personal Business,School Bus,Snohomish,2251.0
Personal Business,TNC,King,8447.0
Personal Business,TNC,Kitsap,600.0
Personal Business,TNC,Pierce,2131.0
Personal Business,TNC,Snohomish,2111.0
Shop,Walk,King,181744.0
Shop,Walk,Kitsap,15029.0
Shop,Walk,Pierce,43794.0
Shop,Walk,Snohomish,43415.0
Shop,Bike,King,13134.0
Shop,Bike,Kitsap,1126.0
Shop,Bike,Pierce,4393.0
Shop,Bike,Snohomish,3757.0
Shop,SOV,King,396685.0
Shop,SOV,Kitsap,57635.0
Shop,SOV,Pierce,170424.0
Shop,SOV,Snohomish,168861.0
Shop,HOV2,King,248679.0
Shop,HOV2,Kitsap,33345.0
Shop,HOV2,Pierce,111625.0
Shop,HOV2,Snohomish,106798.0
Shop,HOV3+,King,147110.0
Shop,HOV3+,Kitsap,17864.0
Shop,HOV3+,Pierce,65372.0
Shop,HOV3+,Snohomish,64440.0
Shop,Transit,King,49563.0
Shop,Transit,Kitsap,2095.0
Shop,Transit,Pierce,2480.0
Shop,Transit,Snohomish,5725.0
Shop,School Bus,King,3417.0
Shop,School Bus,Kitsap,333.0
Shop,School Bus,Pierce,1347.0
Shop,School Bus,Snohomish,1450.0
Shop,TNC,King,6225.0
Shop,TNC,Kitsap,390.0
Shop,TNC,Pierce,1426.0
Shop,TNC,Snohomish,1520.0
Meal,Walk,King,152111.0
Meal,Walk,Kitsap,9847.0
Meal,Walk,Pierce,27638.0
Meal,Walk,Snohomish,29811.0
Meal,Bike,King,7115.0
Meal,Bike,Kitsap,449.0
Meal,Bike,Pierce,1803.0
Meal,Bike,Snohomish,1754.0
Meal,SOV,King,181490.0
Meal,SOV,Kitsap,18238.0
Meal,SOV,Pierce,64175.0
Meal,SOV,Snohomish,67274.0
Meal,HOV2,King,122702.0
Meal,HOV2,Kitsap,11389.0
Meal,HOV2,Pierce,43784.0
Meal,HOV2,Snohomish,44138.0
Meal,HOV3+,King,74178.0
Meal,HOV3+,Kitsap,6187.0
Meal,HOV3+,Pierce,26069.0
Meal,HOV3+,Snohomish,27356.0
Meal,Transit,King,33576.0
Meal,Transit,Kitsap,1104.0
Meal,Transit,Pierce,2184.0
Meal,Transit,Snohomish,5676.0
Meal,School Bus,King,2388.0
Meal,School Bus,Kitsap,193.0
Meal,School Bus,Pierce,854.0
Meal,School Bus,Snohomish,905.0
Meal,TNC,King,32567.0
Meal,TNC,Kitsap,1604.0
Meal,TNC,Pierce,5646.0
Meal,TNC,Snohomish,7930.0
Social,Walk,King,295075.0
Social,Walk,Kitsap,30340.0
Social,Walk,Pierce,91372.0
Social,Walk,Snohomish,86276.0
Social,Bike,King,15335.0
Social,Bike,Kitsap,1385.0
Social,Bike,Pierce,5063.0
Social,Bike,Snohomish,4657.0
Social,SOV,King,300474.0
Social,SOV,Kitsap,37576.0
Social,SOV,Pierce,116927.0
Social,SOV,Snohomish,120473.0
Social,HOV2,King,257330.0
Social,HOV2,Kitsap,29141.0
Social,HOV2,Pierce,103592.0
Social,HOV2,Snohomish,103903.0
Social,HOV3+,King,178236.0
Social,HOV3+,Kitsap,18758.0
Social,HOV3+,Pierce,72864.0
Social,HOV3+,Snohomish,74926.0
Social,Transit,King,29118.0
Social,Transit,Kitsap,1027.0
Social,Transit,Pierce,1511.0
Social,Transit,Snohomish,3260.0
Social,School Bus,King,4015.0
Social,School Bus,Kitsap,389.0
Social,School Bus,Pierce,1631.0
Social,School Bus,Snohomish,1655.0
Social,TNC,King,6850.0
Social,TNC,Kitsap,438.0
Social,TNC,Pierce,1436.0
Social,TNC,Snohomish,1671.0
Change Mode Inserted Purpose,SOV,King,30211.0
Change Mode Inserted Purpose,SOV,Kitsap,2323.0
Change Mode Inserted Purpose,SOV,Pierce,9018.0
Change Mode Inserted Purpose,SOV,Snohomish,13074.0
Change Mode Inserted Purpose,HOV2,King,746.0
Change Mode Inserted Purpose,HOV2,Kitsap,63.0
Change Mode Inserted Purpose,HOV2,Pierce,343.0
Change Mode Inserted Purpose,HOV2,Snohomish,237.0
Change Mode Inserted Purpose,Transit,King,30957.0
Change Mode Inserted Purpose,Transit,Kitsap,2386.0
Change Mode Inserted Purpose,Transit,Pierce,9361.0
Change Mode Inserted Purpose,Transit,Snohomish,13311.0
